fecha,P_mm,ETP_mm,T_min_C,T_max_C,Q_m3s,Q_mm
2001-01-01,0.0,8.88,17.55,24.64,9.4,1.8176
2001-01-02,0.0,9.769,16.52,24.95,7.8,1.5083
2001-01-03,0.0,8.745,16.5,23.67,6.8,1.3149
2001-01-04,0.0,9.777,17.31,25.52,6.2,1.1989
2001-01-05,0.0,7.077,17.34,22.34,6.0,1.1602
2001-01-06,0.0,7.739,16.69,22.58,7.3,1.4116
2001-01-07,0.0,9.215,16.88,24.48,6.3,1.2182
2001-01-08,0.0,10.024,15.59,24.55,5.9,1.1409
2001-01-09,0.0,9.019,17.06,24.36,5.7,1.1022
2001-01-10,3.561,8.932,16.78,24.03,5.6,1.0829
2001-01-11,0.0,8.471,16.77,23.45,7.9,1.5276
2001-01-12,0.0,8.758,16.84,23.84,6.3,1.2182
2001-01-13,4.269,7.706,17.03,22.73,6.0,1.1602
2001-01-14,0.0,8.853,17.45,24.39,5.7,1.1022
2001-01-15,6.481,9.696,16.16,24.44,5.4,1.0442
2001-01-16,2.359,8.708,16.27,23.3,5.3,1.0248
2001-01-17,42.943,7.193,15.72,21.06,5.5,1.0635
2001-01-18,0.0,7.983,16.2,22.36,5.8,1.1215
2001-01-19,0.0,8.335,16.62,23.08,5.3,1.0248
2001-01-20,0.0,7.577,15.89,21.61,5.8,1.1215
2001-01-21,0.0,8.491,16.3,22.98,18.1,3.4999
2001-01-22,4.167,8.738,15.91,22.97,7.5,1.4502
2001-01-23,10.106,7.861,15.5,21.61,12.9,2.4944
2001-01-24,0.0,9.068,14.83,22.55,9.4,1.8176
2001-01-25,0.0,8.323,15.61,22.2,7.9,1.5276
2001-01-26,0.0,7.841,16.53,22.33,6.4,1.2375
2001-01-27,0.0,10.578,14.36,24.03,5.8,1.1215
2001-01-28,0.0,9.855,15.42,23.86,5.4,1.0442
2001-01-29,0.0,10.67,14.19,23.98,5.2,1.0055
2001-01-30,0.0,11.723,12.34,24.08,4.9,0.9475
2001-01-31,0.0,9.573,16.44,24.2,4.9,0.9475
2001-02-01,0.0,8.37,16.97,23.19,4.9,0.9475
2001-02-02,2.532,7.659,18.27,23.39,4.8,0.9282
2001-02-03,32.447,8.365,16.75,22.97,8.3,1.6049
2001-02-04,3.896,7.918,17.45,23.0,7.7,1.4889
2001-02-05,0.0,9.302,17.12,24.3,5.7,1.1022
2001-02-06,0.0,9.951,17.09,25.0,5.0,0.9668
2001-02-07,0.0,10.294,15.36,24.14,4.9,0.9475
2001-02-08,0.0,9.617,17.08,24.56,4.6,0.8895
2001-02-09,0.0,10.416,16.08,24.75,4.5,0.8701
2001-02-10,13.378,10.725,15.61,24.77,4.5,0.8701
2001-02-11,0.0,11.266,16.06,25.7,4.3,0.8315
2001-02-12,0.0,11.003,16.53,25.7,4.2,0.8121
2001-02-13,0.0,11.564,15.95,25.94,4.2,0.8121
2001-02-14,0.0,11.985,15.2,25.91,4.1,0.7928
2001-02-15,0.0,12.407,15.95,26.89,4.1,0.7928
2001-02-16,0.0,12.828,16.58,27.78,4.1,0.7928
2001-02-17,0.0,11.282,17.95,26.95,4.0,0.7735
2001-02-18,0.0,9.262,18.55,25.11,3.9,0.7541
2001-02-19,0.0,9.91,16.94,24.59,4.0,0.7735
2001-02-20,0.0,8.849,17.48,23.81,4.2,0.8121
2001-02-21,67.978,7.404,17.55,22.3,5.3,1.0248
2001-02-22,0.0,7.773,17.31,22.48,11.2,2.1657
2001-02-23,4.948,8.461,17.42,23.3,60.4,11.6793
2001-02-24,0.0,7.868,17.09,22.39,28.3,5.4723
2001-02-25,0.0,9.738,17.0,24.36,11.7,2.2624
2001-02-26,0.0,6.912,17.61,21.8,10.5,2.0303
2001-02-27,0.0,8.281,17.17,22.86,9.0,1.7403
2001-02-28,0.0,8.732,17.23,23.39,69.8,13.497
2001-03-01,7.161,9.059,16.5,23.17,116.8,22.5852
2001-03-02,0.0,9.59,16.69,23.89,24.8,4.7955
2001-03-03,0.0,10.652,17.17,25.42,14.9,2.8812
2001-03-04,26.224,8.506,19.08,24.55,16.7,3.2292
2001-03-05,2.197,9.274,16.59,23.44,12.4,2.3977
2001-03-06,12.51,9.144,17.38,23.88,22.9,4.4281
2001-03-07,1.26,7.64,17.39,22.3,14.2,2.7458
2001-03-08,0.0,8.548,16.28,22.38,12.1,2.3397
2001-03-09,3.842,8.763,17.81,23.78,28.0,5.4143
2001-03-10,5.921,9.313,17.05,23.78,10.0,1.9337
2001-03-11,0.0,10.508,16.91,24.98,8.3,1.6049
2001-03-12,0.0,11.859,15.12,25.27,7.8,1.5083
2001-03-13,0.0,12.76,17.22,27.72,7.3,1.4116
2001-03-14,2.577,7.999,18.77,23.72,6.6,1.2762
2001-03-15,1.603,8.706,18.16,23.95,7.8,1.5083
2001-03-16,18.125,7.721,17.36,22.3,8.6,1.663
2001-03-17,0.0,7.461,17.45,22.11,8.4,1.6243
2001-03-18,6.117,7.571,17.12,21.95,14.8,2.8618
2001-03-19,34.916,5.826,17.77,20.8,21.6,4.1767
2001-03-20,2.64,9.038,18.23,24.34,21.7,4.1961
2001-03-21,16.422,6.782,16.73,20.83,25.5,4.9308
