fecha,P_mm,ETP_mm,T_min_C,T_max_C,Q_m3s,Q_mm
2001-01-01,0.48,8.479,20.23,27.23,12.26,0.3085
2001-01-02,0.0,9.562,18.72,27.49,9.929,0.2498
2001-01-03,0.0,8.96,18.92,26.83,7.844,0.1974
2001-01-04,0.238,10.465,15.68,26.58,7.019,0.1766
2001-01-05,0.0,8.136,17.86,24.95,6.456,0.1624
2001-01-06,0.0,8.321,18.29,25.5,6.174,0.1553
2001-01-07,0.128,7.141,18.99,24.54,6.104,0.1536
2001-01-08,0.451,8.484,20.09,27.04,5.893,0.1483
2001-01-09,0.0,10.147,17.47,27.26,5.823,0.1465
2001-01-10,0.064,8.344,17.85,25.14,5.752,0.1447
2001-01-11,0.0,7.978,17.96,24.72,5.4,0.1359
2001-01-12,0.0,8.068,17.75,24.66,5.26,0.1323
2001-01-13,0.0,8.906,18.26,26.09,5.119,0.1288
2001-01-14,0.0,9.773,17.79,26.85,5.048,0.127
2001-01-15,0.0,8.946,17.96,25.88,5.189,0.1306
2001-01-16,0.035,8.201,18.22,25.08,4.908,0.1235
2001-01-17,0.0,8.069,18.55,25.14,4.415,0.1111
2001-01-18,2.492,8.003,18.73,25.18,4.415,0.1111
2001-01-19,0.0,9.344,18.08,26.37,4.415,0.1111
2001-01-20,0.296,8.143,20.0,26.31,4.134,0.104
2001-01-21,0.813,9.106,19.2,26.81,4.134,0.104
2001-01-22,3.532,8.609,18.8,25.88,4.204,0.1058
2001-01-23,0.0,8.17,18.35,24.96,4.204,0.1058
2001-01-24,0.0,9.639,18.48,26.87,3.993,0.1005
2001-01-25,0.166,10.297,18.96,28.02,3.922,0.0987
2001-01-26,0.766,9.488,18.8,26.84,3.852,0.0969
2001-01-27,0.0,8.919,18.11,25.62,4.063,0.1022
2001-01-28,1.186,8.962,18.39,25.86,4.063,0.1022
2001-01-29,0.0,9.694,18.06,26.48,3.852,0.0969
2001-01-30,0.0,10.314,16.67,26.25,3.571,0.0898
2001-01-31,0.0,10.054,16.75,25.93,3.43,0.0863
2001-02-01,0.0,9.478,17.33,25.59,3.289,0.0828
2001-02-02,0.0,10.32,17.57,26.79,3.289,0.0828
2001-02-03,0.0,9.66,16.97,25.5,3.289,0.0828
2001-02-04,0.022,10.464,18.06,27.23,3.289,0.0828
2001-02-05,3.505,10.257,18.33,27.14,3.289,0.0828
2001-02-06,1.556,10.09,19.57,27.78,3.289,0.0828
2001-02-07,0.736,9.273,20.44,27.46,3.289,0.0828
2001-02-08,0.451,8.936,19.64,26.42,3.148,0.0792
2001-02-09,0.288,9.465,20.21,27.45,3.148,0.0792
2001-02-10,0.0,8.97,18.77,25.74,3.007,0.0757
2001-02-11,0.0,8.156,19.58,25.4,3.007,0.0757
2001-02-12,0.0,9.386,19.76,26.92,3.007,0.0757
2001-02-13,0.0,9.76,20.06,27.54,3.007,0.0757
2001-02-14,0.0,8.532,19.29,25.52,3.007,0.0757
2001-02-15,0.0,9.152,18.89,25.9,3.007,0.0757
2001-02-16,0.0,9.205,19.06,26.06,2.867,0.0721
2001-02-17,1.139,10.519,18.53,27.17,2.937,0.0739
2001-02-18,0.974,8.542,18.96,25.16,2.867,0.0721
2001-02-19,0.0,9.279,17.79,25.08,2.867,0.0721
2001-02-20,0.0,10.216,17.32,25.82,2.867,0.0721
2001-02-21,0.0,10.358,17.01,25.73,2.726,0.0686
2001-02-22,0.227,10.18,16.6,25.18,2.726,0.0686
2001-02-23,0.143,10.642,16.51,25.64,2.726,0.0686
2001-02-24,0.022,9.172,18.28,25.2,2.656,0.0668
2001-02-25,0.045,9.94,17.42,25.4,2.585,0.065
2001-02-26,0.086,9.553,18.29,25.56,2.585,0.065
2001-02-27,0.0,11.665,15.86,26.29,2.585,0.065
2001-02-28,0.0,10.23,17.34,25.61,2.585,0.065
2001-03-01,0.0,11.121,16.97,26.33,2.585,0.065
2001-03-02,0.0,11.105,18.27,27.22,2.585,0.065
2001-03-03,0.0,11.611,18.35,27.85,2.585,0.065
2001-03-04,1.589,11.031,19.68,28.1,2.585,0.065
2001-03-05,6.891,8.678,20.66,26.28,2.585,0.065
2001-03-06,2.104,7.418,20.45,24.85,2.867,0.0721
2001-03-07,3.16,7.209,20.34,24.53,2.937,0.0739
2001-03-08,0.408,7.963,20.46,25.36,3.148,0.0792
2001-03-09,3.068,9.036,19.92,26.0,3.148,0.0792
